category_id,product_count
23392,889
17184,163
21120,246
49570,350
45576,1404
4505,1438
45484,853
5454,709
4403,298
45494,1117
8407,457
49606,721
28578,1447
23340,995
2249,1320
2659,253
10421,98
2136,1351
49460,661
27578,578
8167,880
49656,483
4452,746
8511,1256
5029,1060
24244,351
13344,102
49688,911
5893,342
13878,1734
6742,479
21086,6
854,901
23030,1159
23024,679
1084,1121
11935,1089
10539,8
28464,630
3216,696
49662,417
1527,848
1948,1473
24316,316
10516,921
49672,567
8300,637
21288,648
21252,1028
27172,574
2327,229
5614,402
23634,1487
27196,1130
1837,215
9120,1038
2324,1100
18330,293
23216,463
10381,129
10538,1193
5405,32
23430,532
879,1159
23642,1546
1583,1836
20244,1214
12590,1374
840,966
1841,245
45478,211
2759,566
49682,426
27576,436
49652,1133
5456,1400
49620,1476
23596,371
3990,1483
49494,362
8201,784
6653,176
28900,363
8334,494
29010,602
6521,968
21348,308
28454,816
49384,1182
12908,1051
5900,192
28886,775
5274,461
10511,497
2514,1110
3710,1360
6570,94
8519,334
5402,1055
5460,1039
8294,875
11873,793
23154,271
28906,88
24178,1833
5267,1131
1601,1823
15250,981
45528,286
21468,1744
53602,124
8205,1174
10529,1015
7671,421
2971,490
6522,883
21238,563
11253,635
8278,269
23022,806
6040,1073
24168,135
10413,116
8295,1501
2850,479
23706,877
23270,639
934,955
5385,1213
4420,1594
8934,268
1636,714
5276,407
49630,692
845,1001
49356,672
28860,224
922,773
8400,669
9728,651
1899,1502
23600,587
1616,357
49358,35
24186,80
2662,525
8084,424
23540,914
8382,922
21260,1187
1894,442
5872,205
3866,461
23622,1476
10478,192
45510,264
49724,305
7064,1114
45538,1186
2589,227
18334,1077
28920,1880
5244,515
23102,1673
5280,706
24122,589
26658,172
24344,1076
6571,197
27584,1049
4293,508
10541,349
23506,273
23156,659
45470,574
2511,1292
23588,1291
5284,1013
10384,1206
10475,43
49412,1041
10477,504
8602,1821
2108,514
45604,571
9721,169
8343,718
27180,1295
6992,585
871,1140
30964,169
23702,1508
49634,592
13354,125
23898,433
6255,171
11859,554
4642,1366
23336,696
9725,1199
24132,273
8274,1785
